head;relation;tail
pipelayers, plumbers, pipefitters, and steamfitters;broadmatch;construction trades workers
construction trades workers;narrowmatch;plasterers and stucco masons
plasterers and stucco masons;broadmatch;construction trades workers
real estate sales agents;broadmatch;real estate brokers and sales agents
real estate brokers and sales agents;narrowmatch;real estate sales agents
real estate brokers;broadmatch;real estate brokers and sales agents
food and beverage serving workers;narrowmatch;food servers, nonrestaurant
cooks;narrowmatch;cooks, fast food
cooks, fast food;broadmatch;cooks
cooks;narrowmatch;cooks, institution and cafeteria
cooks, institution and cafeteria;broadmatch;cooks
cooks;narrowmatch;cooks, private household
cooks, private household;broadmatch;cooks
cooks;narrowmatch;cooks, restaurant
cooks, restaurant;broadmatch;cooks
cooks;narrowmatch;cooks, short order
cooks, short order;broadmatch;cooks
cooks;narrowmatch;cooks, all other
cooks, all other;broadmatch;cooks
food and beverage serving workers;narrowmatch;bartenders
bartenders;broadmatch;food and beverage serving workers
food and beverage serving workers;narrowmatch;fast food and counter workers
fast food and counter workers;broadmatch;food and beverage serving workers
food and beverage serving workers;narrowmatch;waiters and waitresses
food preparation workers;broadmatch;cooks and food preparation workers
cooks and food preparation workers;narrowmatch;food preparation workers
cooks;broadmatch;cooks and food preparation workers
cooks and food preparation workers;broadmatch;food preparation and serving related occupations
miscellaneous protective service workers;narrowmatch;protective service workers, all other
protective service workers, all other;broadmatch;miscellaneous protective service workers
protective service workers, all other;narrowmatch;retail loss prevention specialists
retail loss prevention specialists;broadmatch;protective service workers, all other
food preparation and serving related occupations;narrowmatch;supervisors of food preparation and serving workers
supervisors of food preparation and serving workers;broadmatch;food preparation and serving related occupations
food preparation and serving related occupations;narrowmatch;cooks and food preparation workers
food preparation and serving related occupations;narrowmatch;food and beverage serving workers
cooks and food preparation workers;narrowmatch;cooks
food and beverage serving workers;broadmatch;food preparation and serving related occupations
food preparation and serving related occupations;narrowmatch;other food preparation and serving related workers
other food preparation and serving related workers;broadmatch;food preparation and serving related occupations
supervisors of food preparation and serving workers;narrowmatch;chefs and head cooks
chefs and head cooks;broadmatch;supervisors of food preparation and serving workers
supervisors of food preparation and serving workers;narrowmatch;first-line supervisors of food preparation and serving workers
