head;relation;tail
correctional officers and jailers;broadmatch;bailiffs, correctional officers, and jailers
detectives and criminal investigators;narrowmatch;police identification and records officers
police identification and records officers;broadmatch;detectives and criminal investigators
detectives and criminal investigators;narrowmatch;intelligence analysts
intelligence analysts;broadmatch;detectives and criminal investigators
police officers;narrowmatch;police and sheriffâs patrol officers
grounds maintenance workers;narrowmatch;tree trimmers and pruners
grounds maintenance workers;narrowmatch;grounds maintenance workers, all other
real estate brokers and sales agents;narrowmatch;real estate brokers
retail sales workers;narrowmatch;retail salespersons
sales and related occupations;narrowmatch;retail sales workers
retail sales workers;broadmatch;sales and related occupations
sales and related occupations;narrowmatch;sales representatives, services
sales representatives, services;broadmatch;sales and related occupations
sales and related occupations;narrowmatch;sales representatives, wholesale and manufacturing
sales representatives, wholesale and manufacturing;broadmatch;sales and related occupations
sales and related occupations;narrowmatch;other sales and related workers
other sales and related workers;broadmatch;sales and related occupations
supervisors of sales workers;narrowmatch;first-line supervisors of sales workers
first-line supervisors of sales workers;broadmatch;supervisors of sales workers
first-line supervisors of sales workers;narrowmatch;first-line supervisors of retail sales workers
first-line supervisors of retail sales workers;broadmatch;first-line supervisors of sales workers
first-line supervisors of sales workers;narrowmatch;first-line supervisors of non-retail sales workers
first-line supervisors of non-retail sales workers;broadmatch;first-line supervisors of sales workers
retail sales workers;narrowmatch;cashiers
cashiers;broadmatch;retail sales workers
retail sales workers;narrowmatch;counter and rental clerks and parts salespersons
supervisors of sales workers;broadmatch;sales and related occupations
sales and related occupations;narrowmatch;supervisors of sales workers
personal care and service workers, all other;broadmatch;miscellaneous personal care and service workers
residential advisors;broadmatch;other personal care and service workers
tour and travel guides;narrowmatch;travel guides
travel guides;broadmatch;tour and travel guides
other personal care and service workers;narrowmatch;childcare workers
childcare workers;broadmatch;other personal care and service workers
other personal care and service workers;narrowmatch;recreation and fitness workers
recreation and fitness workers;broadmatch;other personal care and service workers
other personal care and service workers;narrowmatch;residential advisors
other personal care and service workers;narrowmatch;miscellaneous personal care and service workers
miscellaneous personal care and service workers;narrowmatch;personal care and service workers, all other
miscellaneous personal care and service workers;broadmatch;other personal care and service workers
childcare workers;narrowmatch;nannies
nannies;broadmatch;childcare workers
recreation and fitness workers;narrowmatch;exercise trainers and group fitness instructors
exercise trainers and group fitness instructors;broadmatch;recreation and fitness workers
recreation and fitness workers;narrowmatch;recreation workers
recreation workers;broadmatch;recreation and fitness workers
counter and rental clerks and parts salespersons;broadmatch;retail sales workers
retail salespersons;broadmatch;retail sales workers
tour and travel guides;narrowmatch;tour guides and escorts
cashiers;narrowmatch;gambling change persons and booth cashiers
sales representatives, wholesale and manufacturing, except technical and scientific products;broadmatch;sales representatives, wholesale and manufacturing
sales representatives, wholesale and manufacturing, technical and scientific products;narrowmatch;solar sales representatives and assessors
solar sales representatives and assessors;broadmatch;sales representatives, wholesale and manufacturing, technical and scientific products
